Age,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome
41,1,2,1,2,3,2,4,8,11,3,1,0,8,0,1,6,4,0,5,5993
49,8,1,2,3,2,2,2,1,23,4,4,1,10,3,3,10,7,1,7,5130
37,2,2,4,4,2,1,3,6,15,3,2,0,7,3,3,0,0,0,0,2090
33,3,4,5,4,3,1,3,1,11,3,3,0,8,3,3,8,7,3,0,2909
27,2,1,7,1,3,1,2,9,12,3,4,1,6,3,3,2,2,2,2,3468
32,2,2,8,4,3,1,4,0,13,3,3,0,8,2,2,7,7,3,6,3068
59,3,3,10,3,4,1,1,4,20,4,1,3,12,3,2,1,0,0,0,2670
30,24,1,11,4,3,1,3,1,22,4,2,1,1,2,3,1,0,0,0,2693
38,23,3,12,4,2,3,3,0,21,4,2,0,10,2,3,9,7,1,8,9526
36,27,3,13,3,3,2,3,6,13,3,2,2,17,3,2,7,7,7,7,5237
35,16,3,14,1,4,1,2,0,13,3,3,1,6,5,3,5,4,0,3,2426
29,15,2,15,4,2,2,3,0,12,3,4,0,10,3,3,9,5,0,8,4193
31,26,1,16,1,3,1,3,1,17,3,4,1,5,1,2,5,2,4,3,2911
34,19,2,18,2,3,1,4,0,11,3,3,1,3,2,3,2,2,1,2,2661
28,24,3,19,3,2,1,3,5,14,3,2,0,6,4,3,4,2,0,3,2028
29,21,4,20,2,4,3,1,1,11,3,3,1,10,1,3,10,9,8,8,9980
32,5,2,21,1,4,1,2,0,12,3,4,2,7,5,2,6,2,0,5,3298
22,16,2,22,4,4,1,4,1,13,3,2,2,1,2,2,1,0,0,0,2935
53,2,4,23,1,2,4,4,2,16,3,3,0,31,3,3,25,8,3,7,15427
38,2,3,24,4,3,1,4,5,11,3,3,0,6,3,3,3,2,1,2,3944
